record_id,entry_type,authors,year,title,journal,abstract,doi,pmid,keywords,decision_r1,decision_r2,final_decision,exclusion_reason,notes
JhaveriKL202541391667,article,"Jhaveri, KL and Neven, P and Casalnuovo, ML and Kim, SB and Tokunaga, E and Aftimos, P and Saura, C and O'Shaughnessy, J and Harbeck, N and Carey, LA and Curigliano, G and Watanabe, J and Lim, E and Huang, J and Qingyuan, Z and Llombart-Cussac, A and Huang, C and Desai, B and Limay, Y and Wang, XA and Cao, S and Bidard, FC",2025,Imlunestrant with or without abemaciclib in advanced breast cancer: updated efficacy results from the phase III EMBER-3 trial.,Annals of oncology : official journal of the European Society for Medical Oncology,,10.1016/j.annonc.2025.11.018,41391667,,I,,,,Key trial: EMBER
RugoHS202540896879,article,"Rugo, HS and Layman, RM and Lynce, F and Liu, X and Li, B and McRoy, L and Cohen, AB and Estevez, M and Curigliano, G and Brufsky, A",2025,Real-world progression-free survival of CDK4/6 inhibitors plus an aromatase inhibitor in HR-positive/HER2-negative metastatic breast cancer in United States routine clinical practice.,ESMO open,,10.1016/j.esmoop.2025.105570,40896879,,U,,,,"Post-CDK4/6 progression mentioned, HR/HER2 status unclear"
SchettiniF202540796258,article,"Schettini, F and Nucera, S and Di Grazia, G and Giudici, F and Strina, C and Milani, M and Tancredi, R and Conte, B and Criscitiello, C and Giuliano, M and Lambertini, M and Sánchez-Bayona, R and Pascual, T and Arpino, G and Del Mastro, L and Vigneri, P and Cristofanilli, M and Rugo, HS and Gennari, A and Curigliano, G and Generali, D",2025,Comparative efficacy between real-world and randomized studies of palbociclib+endocrine therapy in HR-positive/HER2-negative metastatic breast cancer: systematic review and meta-analysis.,JNCI cancer spectrum,,10.1093/jncics/pkaf083,40796258,,E,,,D1,Review/meta-analysis (keyword: systematic review)
JeselsohnR202540714513,article,"Jeselsohn, R and Fu, J and Ren, Y and Mahtani, R and Ma, C and DeMichele, A and Cristofanilli, M and Meisel, J and Miller, KD and Abdou, Y and Riley, EC and Qamar, R and Sharma, P and Reid, S and Ko, N and Liu, Y and Gauthier, E and Burstein, HJ and DeMeo, M and Regan, M and Tolaney, SM and Mayer, EL",2025,Circulating tumor DNA mutational landscape and dynamics after progression on a CDK4/6 inhibitor in the PACE phase II trial for metastatic HR-positive/HER2-negative breast cancer.,ESMO open,,10.1016/j.esmoop.2025.105506,40714513,,U,,,,"Post-CDK4/6 progression mentioned, HR/HER2 status unclear"
LlombartCussacA202540532361,article,"Llombart-Cussac, A and Pérez-García, JM and Bellet, M and Dalenc, F and Gil-Gil, M and Ruiz-Borrego, M and Gavila, J and Schmid, P and Zamora, P and Wheatley, D and Martínez-de Dueñas, E and Amillano, K and Di Cosimo, S and Anton, A and Cottu, P and Shimizu, E and Fernandez, M and Sampayo-Cordero, M and Cortés, J",2025,"Extended follow-up of palbociclib with fulvestrant or letrozole for endocrine-sensitive, hormone receptor-positive/HER2-negative advanced breast cancer in the PARSIFAL trial.",ESMO open,,10.1016/j.esmoop.2025.105309,40532361,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
LeungHW202540440494,article,"Leung, HW and Tsai, MC and Leung, SH and Wang, SY and Chan, AL",2025,Updated efficacy and safety of CDK4/6 inhibitors plus endocrine therapy in elderly women with HR+/HER-2 metastatic or advanced breast cancer: patient-level network meta-analysis.,Aging,,10.18632/aging.206257,40440494,,E,,,D1,Review/meta-analysis (keyword: meta-analysis)
YoshinamiT202540392524,article,"Yoshinami, T and Takano, Y and Ozaki, Y and Kajiwara, Y and Yamamoto, M and Watanabe, KI and Tsukabe, M and Fujisawa, F and Nagai, SE and Shibata, N and Oshiro, C and Bando, H and Tsunoda, N and Yamagami, K and Koizumi, K and Takada, M and Toriguchi, N and Sekine, N and Kawaguchi, T and Saji, S and Sagara, Y and Morita, S and Masuda, N",2025,"Real-world evidence from Japan regarding survival outcomes and treatment sequence in patients receiving CDK4/6 inhibitor plus endocrine therapy as first- or second-line treatment for hormone receptor-positive, HER2-negative advanced or metastatic breast cancer.","Breast cancer (Tokyo, Japan)",,10.1007/s12282-025-01713-7,40392524,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
GarridoCastroAC202540010764,article,"Garrido-Castro, AC and Graham, N and Ali, LR and Herold, C and Desrosiers, J and Do, K and Parsons, H and Li, T and Goel, S and DiLullo, M and Wrabel, E and Williams, AJ and Liu, JF and Mittendorf, EA and Dougan, SK and Tayob, N and Shapiro, GI and Tolaney, SM",2025,Phase I study of ribociclib (CDK4/6 inhibitor) with spartalizumab (PD-1 inhibitor) with and without fulvestrant in metastatic hormone receptor-positive breast cancer or advanced ovarian cancer.,Journal for immunotherapy of cancer,,10.1136/jitc-2024-010430,40010764,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
JhaveriKL202539660834,article,"Jhaveri, KL and Neven, P and Casalnuovo, ML and Kim, SB and Tokunaga, E and Aftimos, P and Saura, C and O'Shaughnessy, J and Harbeck, N and Carey, LA and Curigliano, G and Llombart-Cussac, A and Lim, E and García Tinoco, ML and Sohn, J and Mattar, A and Zhang, Q and Huang, CS and Hung, CC and Martinez Rodriguez, JL and Ruíz Borrego, M and Nakamura, R and Pradhan, KR and Cramer von Laue, C and Barrett, E and Cao, S and Wang, XA and Smyth, LM and Bidard, FC",2025,Imlunestrant with or without Abemaciclib in Advanced Breast Cancer.,The New England journal of medicine,,10.1056/NEJMoa2410858,39660834,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
TokunagaE202539379782,article,"Tokunaga, E and Iwata, H and Itoh, M and Taira, T and Toyama, T and Mizuno, T and Osaki, A and Yanagita, Y and Nakamura, S and Nakamura, R and Sambe, T and Ozaki, T and Schiavon, G and Howell, SJ and Toi, M",2025,Capivasertib and fulvestrant for patients with HR-positive/HER2-negative advanced breast cancer: analysis of the subgroup of patients from Japan in the phase 3 CAPItello-291 trial.,"Breast cancer (Tokyo, Japan)",,10.1007/s12282-024-01640-z,39379782,,I,,,,Key trial: CAPItello
