record_id,title,doi,pmid,retrieval_method,pdf_path,retrieval_status,notes
JhaveriKL202541391667,Imlunestrant with or without abemaciclib in advanced breast cancer: updated efficacy results from th,10.1016/j.annonc.2025.11.018,41391667,Unpaywall (bronze),,OA-download-failed,403 error or access blocked. PDF URL: https://www.annalsofoncology.org/article/S0923-753
RugoHS202540896879,Real-world progression-free survival of CDK4/6 inhibitors plus an aromatase inhibitor in HR-positive,10.1016/j.esmoop.2025.105570,40896879,Unpaywall (gold),,OA-download-failed,403 error or access blocked. PDF URL: None
JeselsohnR202540714513,Circulating tumor DNA mutational landscape and dynamics after progression on a CDK4/6 inhibitor in t,10.1016/j.esmoop.2025.105506,40714513,Unpaywall (gold),,OA-download-failed,403 error or access blocked. PDF URL: https://www.esmoopen.com/article/S2059-7029(25)013
TokunagaE202539379782,Capivasertib and fulvestrant for patients with HR-positive/HER2-negative advanced breast cancer: ana,10.1007/s12282-024-01640-z,39379782,Unpaywall (automated),pdfs/TokunagaE202539379782.pdf,downloaded,
HoraniM202337860199,"Treatment options for patients with hormone receptor-positive, HER2-negative advanced-stage breast c",10.3389/fonc.2023.1272602,37860199,Unpaywall (automated),pdfs/HoraniM202337860199.pdf,downloaded,
LindemanGJ202235583555,VERONICA: Randomized Phase II Study of Fulvestrant and Venetoclax in ER-Positive Metastatic Breast C,10.1158/1078-0432.CCR-21-3811,35583555,Unpaywall (green),,OA-download-failed,403 error or access blocked. PDF URL: None
SledgeGW202031563959,"The Effect of Abemaciclib Plus Fulvestrant on Overall Survival in Hormone Receptor-Positive, ERBB2-N",10.1001/jamaoncol.2019.4782,31563959,Unpaywall (hybrid),,OA-download-failed,403 error or access blocked. PDF URL: https://jamanetwork.com/journals/jamaoncology/arti
KettnerNM20252,"IL-6 predicts CDK4/6 inhibitor resistance, identifying STAT3 as a target in HR + /HER2-negative meta",10.1038/s41698-025-01041-1,,Unpaywall (automated),pdfs/KettnerNM20252.pdf,downloaded,
GerratanaL202511,Circulating Tumor Cell Dynamics after CDK4/6 Inhibitor for Hormone Receptor–Positive Metastatic Brea,10.1158/1078-0432.CCR-25-0327,,Manual retrieval needed,,closed-access,Not available via Unpaywall (closed access)
ElenaCM202529,"A Phase 2, Open Label, Multicenter, Single Arm Trial Evaluating the Activity and Safety of Abemacicl",10.1016/j.clbc.2025.05.003,,Manual retrieval needed,,closed-access,Not available via Unpaywall (closed access)
AgrawalYN202536,Transcriptomic Predictors of Survival for Palbociclib + Endocrine Therapy Versus Capecitabine in Aro,10.1200/PO-24-00937,,Unpaywall (automated),pdfs/AgrawalYN202536.pdf,downloaded,
LlombartCussacA202537,Second-Line Endocrine Therapy With or Without Palbociclib Rechallenge in Patients With Hormone Recep,10.1200/JCO-24-01865,,Unpaywall (hybrid),,OA-download-failed,403 error or access blocked. PDF URL: None
RavaniLV202541,Efficacy of Subsequent Treatments After Disease Progression on CDK4/6 Inhibitors in Patients With Ho,10.1200/OP-24-00649,,Manual retrieval needed,,closed-access,Not available via Unpaywall (closed access)
KalinskyK202547,Abemaciclib Plus Fulvestrant in Advanced Breast Cancer after Progression on CDK4/6 Inhibition: Resul,10.1200/JCO-24-02086,,Unpaywall (hybrid),,OA-download-failed,403 error or access blocked. PDF URL: None
OgataN202550,Efficiency of Fulvestrant Monotherapy After CDK4/6 Inhibitor Exposure: Is This a Viable Choice?,10.3390/cancers17050884,,Unpaywall (automated),pdfs/OgataN202550.pdf,downloaded,
AgostiniM202478,Fulvestrant Monotherapy After CDK4/6 Inhibitors in Metastatic Breast Cancer Patients: A Real-Life Ex,10.3390/cancers16244179,,Unpaywall (automated),pdfs/AgostiniM202478.pdf,downloaded,
OliveiraM202488,"Capivasertib and fulvestrant for patients with hormone receptor-positive, HER2-negative advanced bre",10.1016/S1470-2045(24)00373-5,,Manual retrieval needed,,closed-access,Not available via Unpaywall (closed access)
RugoHS202490,Health-related quality of life with sacituzumab govitecan in HR+/HER2- metastatic breast cancer in t,10.1093/oncolo/oyae088,,Unpaywall (gold),,OA-download-failed,403 error or access blocked. PDF URL: https://academic.oup.com/oncolo/advance-article-pd
SnchezBayonaR202493,Everolimus plus endocrine therapy beyond CDK4/6 inhibitors progression for HR+ /HER2− advanced breas,10.1007/s10549-024-07324-8,,Manual retrieval needed,,closed-access,Not available via Unpaywall (closed access)
MayerEL202498,"PACE: A Randomized Phase II Study of Fulvestrant, Palbociclib, and Avelumab After Progression on Cyc",10.1200/JCO.23.01940,,Manual retrieval needed,,closed-access,Not available via Unpaywall (closed access)
TakeshitaT2024109,Identifying prognostic biomarkers for palbociclib add-on therapy in fulvestrant-resistant breast can,10.1016/j.esmoop.2024.102385,,Unpaywall (gold),,OA-download-failed,403 error or access blocked. PDF URL: http://www.esmoopen.com/article/S2059702924001534/
BhaveMA2024127,"Imlunestrant, an oral selective estrogen receptor degrader (SERD), in combination with human epiderm",10.1200/JCO.2024.42.16_suppl.1027,,Manual retrieval needed,,closed-access,Not available via Unpaywall (closed access)
DegenhardtT2023138,"PRECYCLE: multicenter, randomized phase IV intergroup trial to evaluate the impact of eHealth-based ",10.1186/s13063-023-07306-z,,Unpaywall (automated),pdfs/DegenhardtT2023138.pdf,downloaded,
RugoHS2023146,Overall survival with sacituzumab govitecan in hormone receptor-positive and human epidermal growth ,10.1016/S0140-6736(23)01245-X,,Unpaywall (hybrid),,OA-download-failed,403 error or access blocked. PDF URL: http://www.thelancet.com/article/S014067362301245X
KalinskyK2023153,Randomized Phase II Trial of Endocrine Therapy with or Without Ribociclib after Progression on Cycli,10.1200/JCO.22.02392,,Manual retrieval needed,,closed-access,Not available via Unpaywall (closed access)
DavisAA2023160,Genomic Complexity Predicts Resistance to Endocrine Therapy and CDK4/6 Inhibition in Hormone Recepto,10.1158/1078-0432.CCR-22-2177,,Unpaywall (hybrid),,OA-download-failed,403 error or access blocked. PDF URL: https://aacrjournals.org/clincancerres/article-pdf
GuerreroZotano2023163,CCNE1 and PLK1 Mediate Resistance to Palbociclib in HR+/HER2- Metastatic Breast Cancer,10.1158/1078-0432.CCR-22-2206,,Unpaywall (hybrid),,OA-download-failed,403 error or access blocked. PDF URL: https://aacrjournals.org/clincancerres/article-pdf
PalumboR2023179,Efficacy and activity of treatments after progression from palbociclib plus endocrine therapy in pat,10.7573/dic.2023-7-5,,Unpaywall (automated),pdfs/PalumboR2023179.pdf,downloaded,
BerriosK2022198,Is adding ribociclib to fulvestrant cost-effective in treating postmenopausal women with HR+/HER2- a,,,,,not-queried,No DOI for Unpaywall query
KharenkoOA2022207,Combination of ZEN-3694 with CDK4/6 inhibitors reverses acquired resistance to CDK4/6 inhibitors in ,10.1038/s41417-021-00375-9,,Manual retrieval needed,,closed-access,Not available via Unpaywall (closed access)
MartinJM2022212,Systemic Therapies Following Progression on First-line CDK4/6-inhibitor Treatment: Analysis of Real-,10.1093/oncolo/oyac075,,Unpaywall (gold),,OA-download-failed,403 error or access blocked. PDF URL: https://academic.oup.com/oncolo/article-pdf/27/6/4
CetinB2022220,CDK4/6 inhibitors: Mechanisms of resistance and potential biomarkers of responsiveness in breast can,10.2217/fon-2021-0842,,Manual retrieval needed,,closed-access,Not available via Unpaywall (closed access)
CogliatiV2022222,How to Treat HR+/HER2-Metastatic Breast Cancer Patients after CDK4/6 Inhibitors: An Unfinished Story,10.3390/life12030378,,Unpaywall (automated),pdfs/CogliatiV2022222.pdf,downloaded,
BardiaA2021252,"Phase I/II trial of exemestane, ribociclib, and everolimus in women with HR+/HER2- advanced breast c",10.1158/1078-0432.CCR-20-2114,,Unpaywall (bronze),,OA-download-failed,403 error or access blocked. PDF URL: https://aacrjournals.org/clincancerres/article-pdf
BadaouiS2021256,Patient-Reported Outcomes Predict Progression-Free Survival of Patients with Advanced Breast Cancer ,10.1002/onco.13806,,Unpaywall (bronze),,OA-download-failed,403 error or access blocked. PDF URL: https://academic.oup.com/oncolo/article-pdf/26/7/5
MartinM2021266,"Palbociclib in combination with endocrine therapy versus capecitabine in hormonal receptor-positive,",10.1016/j.annonc.2020.12.013,,Unpaywall (hybrid),,OA-download-failed,403 error or access blocked. PDF URL: None
LiC2021275,"Advances in therapy for hormone receptor (Hr)-positive, human epidermal growth factor receptor 2 (he",10.2147/OTT.S298720,,Unpaywall (gold),,OA-download-failed,403 error or access blocked. PDF URL: https://www.dovepress.com/getfile.php?fileID=69030
LeeJ2021277,Implications of tamoxifen resistance in palbociclib efficacy for patients with hormone receptor-posi,10.20538/1682-0363-2021-2-6-11,,Unpaywall (gold),,OA-download-failed,403 error or access blocked. PDF URL: https://bulletin.tomsk.ru/jour/article/download/43
BardiaA2020288,Phase Ib dose-escalation/expansion trial of ribociclib in combination with everolimus and exemestane,10.1158/1078-0432.CCR-20-1068,,Unpaywall (bronze),,OA-download-failed,403 error or access blocked. PDF URL: https://aacrjournals.org/clincancerres/article-pdf
GiulianiJ2020296,The introduction of a third CDK4/6 inhibitor does not change the cost-effectiveness profile in first,10.1177/1078155220934531,,Manual retrieval needed,,closed-access,Not available via Unpaywall (closed access)
NakayamaT2020302,"Therapy options after CDK4/6 inhibitors for HR+, HER2- postmenopausal metastatic/recurrent breast ca",10.2217/fon-2020-0326,,Unpaywall (hybrid),,OA-download-failed,403 error or access blocked. PDF URL: None
PrestiD2019335,The PI3K/AKT/mTOR and CDK4/6 pathways in endocrine resistant HR+/HER2- metastatic breast cancer: Bio,10.3390/cancers11091242,,Unpaywall (automated),pdfs/PrestiD2019335.pdf,downloaded,
BuiT2019355,Real-World Effectiveness of Palbociclib Versus Clinical Trial Results in Patients With Advanced/Meta,10.1177/1178223418823238,,Unpaywall (gold),,OA-download-failed,403 error or access blocked. PDF URL: https://journals.sagepub.com/doi/pdf/10.1177/11782
CristofanilliM2018366,Predictors of prolonged benefit from palbociclib plus fulvestrant in women with endocrine-resistant ,10.1016/j.ejca.2018.08.011,,Unpaywall (hybrid),,OA-download-failed,403 error or access blocked. PDF URL: http://www.ejcancer.com/article/S0959804918311481/
GuarducciC2017402,Mechanisms of Resistance to CDK4/6 Inhibitors in Breast Cancer and Potential Biomarkers of Response,10.1159/000484167,,Unpaywall (bronze),,OA-download-failed,403 error or access blocked. PDF URL: https://www.karger.com/Article/Pdf/484167
SledgeGW2017406,MONARCH 2: Abemaciclib in combination with fulvestrant in women with HR+/HER2-advanced breast cancer,10.1200/JCO.2017.73.7585,,Unpaywall (green),,OA-download-failed,403 error or access blocked. PDF URL: None
CristofanilliM2016427,Fulvestrant plus palbociclib versus fulvestrant plus placebo for treatment of hormone-receptor-posit,10.1016/S1470-2045(15)00613-0,,Manual retrieval needed,,closed-access,Not available via Unpaywall (closed access)
Rugo2024TROPION,Datopotamab Deruxtecan Versus Chemotherapy in Previously Treated Inoperable/Metastatic Hormone Recep,10.1200/JCO.24.00920,39265124,Unpaywall (hybrid),,OA-download-failed,403 error or access blocked. PDF URL: None
Bidard2022EMERALD,Elacestrant (oral selective estrogen receptor degrader) Versus Standard Endocrine Therapy for Estrog,10.1200/JCO.22.00338,35584336,Unpaywall (hybrid),,OA-download-failed,403 error or access blocked. PDF URL: https://ascopubs.org/doi/pdfdirect/10.1200/JCO.22.
Hurvitz2024EMERALD,"Elacestrant in ER+, HER2- Metastatic Breast Cancer with ESR1-Mutated Tumors: Subgroup Analyses from ",10.1158/1078-0432.CCR-24-0251,39087959,Manual retrieval needed,,closed-access,Not available via Unpaywall (closed access)
Andre2021SOLAR1,"Alpelisib plus fulvestrant for PIK3CA-mutated, hormone receptor-positive, human epidermal growth fac",10.1016/j.annonc.2020.11.011,33246021,Unpaywall (hybrid),,OA-download-failed,403 error or access blocked. PDF URL: http://www.annalsofoncology.org/article/S092375342
Fernandez2021Everolimus,Everolimus Plus Exemestane Treatment in Patients with Metastatic Hormone Receptor-Positive Breast Ca,10.1002/onco.13595,33373062,Unpaywall (hybrid),,OA-download-failed,403 error or access blocked. PDF URL: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1
