record_id,entry_type,authors,year,title,journal,abstract,doi,pmid,keywords,decision_r1,decision_r2,final_decision,exclusion_reason,notes
SanoY202641402979,article,"Sano, Y and Miyazaki, K and Yamaguchi, M and Taguchi, S and Machida, R and Kawabata, K and Fukuda, H and Shimada, K and Nagai, H and Munakata, W and Maruyama, D",2026,Protocol digest of a randomized phase III study of pola-R-CHP/high-dose methotrexate/IT vs. pola-R-CHP/IT for newly diagnosed diffuse large B-cell lymphoma with high risk of central nervous system relapse: JCOG2201 (PREMIER).,Japanese journal of clinical oncology,,10.1093/jjco/hyaf202,41402979,,,,,,
MichotJM202641260259,article,"Michot, JM and Bologna, S and Bastie, JN and Borght, TV and Brière, J and Ribrag, V and Bommier, C and Peyrade, F and Lebras, L and Damaj, G and Coso, D and Sibon, D and Bonnet, C and Morschhauser, F and Ghesquières, H and Fruchart, C and Soussain, C and Becker, S and Olivier, P and Julian, A and Molina, T and Haioun, C and Tilly, H",2026,"Early positron emission tomography response-adapted treatment in low-risk diffuse large B-cell lymphoma: an open-label, multicenter, randomized, noninferiority phase III trial.",Annals of oncology : official journal of the European Society for Medical Oncology,,10.1016/j.annonc.2025.11.006,41260259,,,,,,
MirzaW202541217554,article,"Mirza, W and Dadan, S and Ahmad, E and Junaid, A and Satti, TM",2025,Clinical outcomes and safety of CD47-targeted immunotherapies across hematologic malignancies: a systematic review of monoclonal antibodies and fusion proteins in combination strategies.,Clinical and experimental medicine,,10.1007/s10238-025-01915-5,41217554,,,,,,
AliKM202541212511,article,"Ali, KM and Ashraf, MF and Abideen, ZU and Rehman, A and Javed, R and Mujtaba, AG and Diwan, T and Khalid, U and Ikram, L",2025,Role of rituximab in treatment of patients with primary central nervous system lymphoma: An updated systematic review and meta-analysis.,Acta neurologica Belgica,,10.1007/s13760-025-02945-2,41212511,,,,,,
KhoujaM202641145670,article,"Khouja, M and Kehden, B and Blair, D and Kuffer, C and Wagner, S and Versteegen, T and Nakov, P and Brüggemann, M and Baldus, C and Belada, D and Nowakowski, GS and Schilhabel, A and Darzentas, N and Pott, C",2026,ctDNA dynamics demonstrates rapid treatment response to tafasitamab + R-CHOP +/- lenalidomide and predicts outcome in diffuse large B-cell lymphoma: results from the phase 1b First-MIND study.,Leukemia,,10.1038/s41375-025-02759-4,41145670,,,,,,
DuminucoA202541114812,article,"Duminuco, A and Scarso, S and Del Fabro, V and Caruso, LA and Stanzione, G and Di Raimondo, F and Palumbo, GA and Vetro, C",2025,Diffuse large B-cell lymphoma in the new era: prognostic tools for mapping risk.,Annals of hematology,,10.1007/s00277-025-06686-3,41114812,,,,,,
ThompsonC202640997297,article,"Thompson, C and Trněný, M and Morschhauser, F and Salles, G and Reagan, PM and Hertzberg, M and Zhang, H and Thieblemont, C and Hu, B and Fonseca, G and Kim, WS and Martelli, M and Mehta, A and Singh, A and Yan, M and Hirata, J and Sugidono, M and Lee, C and Sharman, JP and Mehta-Shah, N and Flowers, CR and Tilly, H and Chua, N and Casasnovas, RO and Miall, F and Kim, TM and Tsai, XC and Nasta, S and Lee, ST and Friedberg, JW",2026,PROs vs clinician-reported adverse events in a large clinical trial: findings from the phase 3 POLARIX study.,Blood,,10.1182/blood.2025028848,40997297,,,,,,
MorschhauserF202540991874,article,"Morschhauser, F and Salles, G and Sehn, LH and Herrera, AF and Friedberg, JW and Trněný, M and Lenz, G and Sharman, JP and Herbaux, C and Burke, JM and Matasar, M and Collins, GP and Mehta-Shah, N and Oberic, L and Chauchet, A and Jurczak, W and Song, Y and Pinto, A and Rai, S and Izutsu, K and Greil, R and Mykhalska, L and Bergua-Burgués, JM and Cheung, MC and Shin, HJ and Hapgood, G and Munhoz, E and Abrisqueta, P and Gau, JP and Jiang, Y and McCall, B and Chohan, S and Sugidono, M and Yan, M and Batlevi, CL and Tilly, H and Flowers, CR",2025,Five-Year Outcomes of the POLARIX Study Comparing Pola-R-CHP and R-CHOP in Patients With Diffuse Large B-Cell Lymphoma.,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,,10.1200/JCO-25-00925,40991874,,,,,,
OhmachiK202540891733,article,"Ohmachi, K and Kinoshita, T and Maruyama, D and Machida, R and Sano, Y and Yamauchi, N and Fukuhara, N and Uchida, T and Yamamoto, K and Miyazaki, K and Tsukamoto, N and Iida, S and Yoshida, I and Imaizumi, Y and Suzuki, Y and Yoshida, S and Masaki, Y and Murayama, T and Yakushijin, Y and Suehiro, Y and Nosaka, K and Dobashi, N and Kuroda, J and Takamatsu, Y and Munakata, W and Ando, K and Ishizawa, K and Ogura, M and Yoshino, T and Hotta, T and Tsukasaki, K and Tobinai, K and Nagai, H",2025,Final results of JCOG0601 randomized trial of R-CHOP versus CHOP combined with dose-dense rituximab for diffuse large B-cell lymphoma.,Japanese journal of clinical oncology,,10.1093/jjco/hyaf134,40891733,,,,,,
CahillK202540720747,article,"Cahill, K and Godfrey, J and Nabhan, C and Kline, J and Riedell, PA and Cohen, KS and Narula, S and Karrison, TG and Robertson, J and Karmali, R and Venugopal, P and Kim, SH and Rapoport, AP and Lee, ST and Law, J and Fishkin, PAS and Isufi, I and Velasco, M and Kaminer, L and Smith, SM",2025,A multicenter phase 1/2 trial of lenalidomide and dose-adjusted EPOCH-R in MYC-associated DLBCL.,Blood advances,,10.1182/bloodadvances.2025017092,40720747,,,,,,
IacoboniG202540517438,article,"Iacoboni, G",2025,T-Cell Redirecting Strategies in Large B-Cell Lymphoma and Follicular Lymphoma.,Hematological oncology,,10.1002/hon.70068,40517438,,,,,,
NakashimaT202540453132,article,"Nakashima, T and Suzuki, T and Machida, R and Shimada, K and Kobayashi, T and Maruyama, D and Munakata, W and Iida, S and Ohmachi, K and Kinoshita, T and Ando, K and Nagai, H",2025,Prognostic impact of RDI of vincristine in patients with DLBCL receiving R-CHOP: a supplementary analysis of JCOG0601.,Blood neoplasia,,10.1016/j.bneo.2025.100077,40453132,,,,,,
HuB202540085955,article,"Hu, B and Reagan, PM and Sehn, LH and Sharman, JP and Hertzberg, M and Zhang, H and Kim, A and Herbaux, C and Molina, L and Maruyama, D and Stenner, F and Chohan, S and Kothari, R and Lee Batlevi, C and Hirata, J and Sahin, D and Lee, C and Sugidono, M and Tilly, H",2025,Subgroup analysis of older patients ≥60 years with diffuse large B-cell lymphoma in the phase 3 POLARIX study.,Blood advances,,10.1182/bloodadvances.2024014707,40085955,,,,,,
WestinJ202539908481,article,"Westin, J and Phillips, TJ and Mehta, A and Hoffmann, MS and Gonzalez-Barca, E and Thieblemont, C and Bastos-Oreiro, M and Greil, R and Giebel, S and Wei, MC and Wang, J and Bucher, R and Sit, J and Penuel, E and Purev, E and Yee, DL and Bergua-Burgues, JM",2025,Mosunetuzumab plus Pola-CHP compared with Pola-R-CHP in previously untreated DLBCL: final results from a phase 2 study.,Blood advances,,10.1182/bloodadvances.2024014907,39908481,,,,,,
MorrisonVA202539809075,article,"Morrison, VA and Le-Rademacher, J and Bobek, O and Satele, D and Leonard, JP and Jatoi, A",2025,"Association of age and performance status with adverse events in older adults with diffuse large B-cell lymphoma receiving frontline R-CHOP therapy: Alliance 151930, a secondary analysis of the phase III trial CALGB 50303.",Journal of geriatric oncology,,10.1016/j.jgo.2025.102185,39809075,,,,,,
GaoY202539773004,article,"Gao, Y and Zhang, L and Gao, S and Yang, Y and Zhang, Q and Zhang, H and He, P and Li, F and Jing, H and Grange, S and Bu, L and Wang, Q and Li, L and Huang, H",2025,"Pharmacokinetics, efficacy, and safety of subcutaneous versus intravenous rituximab in previously untreated Chinese patients with CD20+ diffuse large B-cell lymphoma: a phase II randomized controlled trial.",Leukemia & lymphoma,,10.1080/10428194.2024.2439525,39773004,,,,,,
LiZ202439455094,article,"Li, Z and Jiang, W and Zhou, H and Cen, H and Zhang, M and Lv, F and Zhang, Q and Sun, X and Liu, L and Huang, Y and Yang, H and Gao, S and He, C and Yang, W and Li, W and Yu, D and Yang, Y and Cheng, Y and Qian, Z and Xiang, Y and Guo, Q and Xu, B and Song, Y and Zhang, L and Lin, L and Shen, J and Yan, F and Liu, H and Zhang, D and Wang, J and Zhou, M and Zhu, X and Zhang, W and Zhao, W and Feng, R and Zhang, X and Jin, J and Zhong, M and Zhang, M and Wang, J and Jing, H and Wang, Z and Zhao, H and Zhu, J",2024,Comparison of zuberitamab plus CHOP versus rituximab plus CHOP for the treatment of drug-naïve patients diagnosed with CD20-positive diffuse large B-cell lymphoma: a phase 3 trial.,Journal for immunotherapy of cancer,,10.1136/jitc-2024-008895,39455094,,,,,,
YauCE202439409931,article,"Yau, CE and Low, CE and Ong, WS and Khoo, LP and Hoe, JTM and Tan, YH and Chang, EWY and Yang, VS and Poon, EYL and Chan, JY and Sin, IH and Yeoh, KW and Somasundaram, N and Harunal Rashid, MFB and Tao, M and Lim, ST and Chiang, J",2024,Using Deauville Scoring to Guide Consolidative Radiotherapy in Diffuse Large B-Cell Lymphoma.,Cancers,,10.3390/cancers16193311,39409931,,,,,,
