record_id,entry_type,authors,year,title,journal,abstract,doi,pmid,keywords,decision_r1,decision_r2,final_decision,exclusion_reason,notes
LiuJYW202642184358,article,"Liu, JYW and Wong, RWY and Pinto, SM and Wong, CKH and Kor, PPK and Wang, S and Chan, K",2026,Exploring the Effects of Serious Games (Immersive Virtual Reality Versus Web-Based Platforms) on Interprofessional Education Among Undergraduate Health Care Students: Randomized Controlled Trial and Multimethod Study.,JMIR serious games,"BACKGROUND: Interprofessional education (IPE) is essential for developing teamwork and communication skills in health care training. Building interprofessional competency involves acquiring knowledge, cultivating readiness to engage in teamwork, and fostering effective collaboration. However, challenges include geographical barriers and faculty resistance that can hinder progress. Innovative solutions to enhance engagement and collaboration include serious games played using immersive virtual reality (IVR) and web-based platforms. Despite their potential, research comparing the effectiveness of these approaches for IPE remains limited. OBJECTIVE: This study aimed to identify effective implementation methods by evaluating the impact of IVR and web-based serious games on health care students' interprofessional competencies and learning experiences. METHODS: A multimethod approach was used to evaluate students' pre- and postlearning outcomes and experiences. Nursing and physiotherapy students were randomly assigned to either the IVR group or web-based group. The Readiness for Interprofessional Learning Scale (RIPLS), Brief Sense of Community Scale (BSCS), and Intrinsic Motivation Inventory (IMI) were used to measure learning experiences. Learning outcomes were examined through multiple-choice questions (MCQs). After the outcome assessments, groups switched modalities to allow all students to experience both learning approaches. Four focus groups (n=34) provided qualitative insights into learning experiences. RESULTS: The study included 271 students (IVR group: 125; web-based group: 146). Both groups showed significant improvements in community building (BSCS; IVR: r=-0.29, 95% CI 0.06-0.31; P=.001; web-based: r=-0.27, 95% CI 0.07-0.31; P=.001). The IVR group showed improvements in only the pressure/tension subscale of the IMI (r=-0.45, 95% CI -0.05 to -0.25; P<.001), while the web-based group showed improvements across all IMI subscales, including interest/enjoyment (r=-0.17, 95% CI 0.00-0.30; P=.043), perceived competence (r=-0.19, 95% CI 0.00-0.50; P=.02), and pressure/tension (r=-0.46, 95% CI -0.75 to -0.50; P<.001). Both groups showed significant improvements in knowledge-checking MCQ scores (IVR: r=-0.64, 95% CI 2.00-3.00; P<.001; web-based: r=-0.80, 95% CI 4.50-6.00; P<.001), with the web-based group outperforming the IVR group (r=-0.34, 95% CI -3.00 to -2.00; P<.001). RIPLS scores showed no significant difference in both groups, suggesting that greater exposure is required to enhance IPE readiness. A qualitative analysis revealed 6 themes: valuing collaboration opportunities, fostering trust and shared learning, promoting engagement and authenticity, enhancing knowledge retention, balancing innovation with practicality, and improving realism and inclusivity. No adverse events were noted. CONCLUSIONS: To our knowledge, this is the first study to compare the effects of 2 different modalities (IVR and web-based approaches) on a technology-enabled IPE program. These findings highlight the practical potential of both approaches in supporting IPE. The web-based approach's superior performance in enhancing learning outcomes and motivation suggests that its flexible format better accommodates diverse learning preferences. These findings support technology-enhanced IPE, offering educators scalable, evidence-based strategies to develop collaborative, patient-centered professionals who are equipped for real-world practice.",10.2196/80033,42184358,educational technology; health care students; interprofessional education; randomized controlled trial; serious games; undergraduate health care education; virtual reality,maybe,,maybe,,"AI-R1: RCT of serious games in nursing+physiotherapy students but comparator is also a serious game (web vs IVR), so game effect may not be isolable; mixed population."
WangH202642167168,article,"Wang, H and Zhang, S and Feng, Y and Lu, Y and Wang, Z and Jia, M and Hou, C and Zhang, G",2026,Effects of different technology-based simulation on nursing students' self-confidence and critical thinking: A systematic review and network meta-analysis.,Nurse education today,"BACKGROUND: As an indispensable teaching method in nursing education, technology-based simulation promotes the learning and practice of nursing students. Although evidence of the effectiveness of technology-based simulation for improving self-confidence and critical thinking among nursing students is expanding, the results remain inconsistent, and there is insufficient evidence to compare the relative effects of different simulations. OBJECTIVES: This study evaluated the relative effectiveness of different technology-based simulations on nursing students' self-confidence and critical thinking. DESIGN: Systematic review and network meta-analysis. METHODS: A systematic search was performed in twelve databases to identify studies that were published up to December 2025. Randomized controlled trials evaluating the impact of technology-based simulation on the self-confidence and critical thinking of nursing students were included. Pairwise meta-analysis and network meta-analysis were used to compare the relative effects of different technology-based simulations and rank them according to SUCRA values. RESULTS: A total of 47 randomized controlled trials were included, involving 10 types of technology-based simulations. High-fidelity simulation (SMD = 0.83, 95%CI = 0.34, 1.33) and immersive virtual reality (SMD = 0.81, 95% CI = 0.34, 1.28) had statistically significant effects on improving self-confidence. For critical thinking, computer-based simulation (SMD = 5.04, 95% CI = 0.58, 9.49) was a potentially effective option. However, this result should be interpreted with caution, as it was based on two direct comparative studies. For self-confidence, high-fidelity simulation had a SUCRA value of 74.0% based on 11 direct comparisons. For the secondary outcome of knowledge, serious game (SMD = 1.72, 95%CI = 0.21, 3.24), high-fidelity simulation (SMD = 1.01, 95%CI = 0.43, 1.59), and immersive virtual reality (SMD = 0.62, 95%CI = 0.03, 1.21) were effective. Serious game had a SUCRA value of 83.5%. CONCLUSIONS: This study found that high-fidelity simulation had the potential to improve the self-confidence of nursing students. For critical thinking, computer-based simulation was a potentially effective option. Schools and educators should choose appropriate simulations according to specific training objectives and the strength of available evidence.",10.1016/j.nedt.2026.107166,42167168,Critical thinking; Network meta-analysis; Nursing student; Self-confidence; Technology-based simulation,exclude,,exclude,"S1: Systematic review and network meta-analysis, not a primary RCT.","AI-R1: Systematic review and network meta-analysis, not a primary RCT."
RashwanZI202642102624,article,"Rashwan, ZI and Khamis, GM and Mahmoud, NM and El-Lawaty, KS and Abdellah, MMM and Ismail, EMAE",2026,Video game addiction moderates pathways from violent gaming to emotional blunting in adolescents: Serial mediation through desensitization and aggression.,Journal of pediatric nursing,"BACKGROUND: The psychological and social consequences of recurring exposure to Violent Video Games (VVGs) are a concerning issue of global health interest. Prolonged engagement with VVGs can lead to addiction, desensitizing adolescents to real-world violence and impairing their empathy. This desensitization may trigger various forms of aggression and result in emotional blunting. PURPOSE: This study aims to assess the mediation pathways between violent video gaming, desensitization, aggression, and blunted emotional reactions among adolescents using gaming addiction as a moderator. DESIGN AND METHODS: A descriptive, correlational, multi-group study was conducted among 501 randomly selected adolescents. The moderation and mediation analysis was used to identify the direct and indirect pathways linking the study variables. RESULTS: Adolescents with problematic videogaming (31.9%, n = 160) reported significantly higher scores in violent gaming, aggression, desensitization, and emotional blunting than non-problematic (p < .001). Adolescents with problematic videogaming, violent gaming directly predicted aggression (β =0.60, p < .001), whereas non-problematic adolescents demonstrated emotion-mediated pathways through desensitization (β = 0.29, p < .001). Despite different mechanisms, both groups exhibited comparable total effects on emotional blunting. CONCLUSIONS: Adolescents with problematic videogaming exhibited higher levels of aggression, desensitization, and emotional blunting compared to non-problematic peers. The moderated mediation analysis revealed that addiction influences the pathways connecting engagement with VVGs to emotional blunting, as problematic gamers showed a direct pathway from VVGs to aggression, whereas non-problematic gamers followed an emotion-mediated pathway to aggression through desensitization. IMPLICATIONS FOR PEDIATRIC NURSING PRACTICE: Pediatric nurses should incorporate screening for gaming behavior into adolescent psychosocial assessments. Adolescents with problematic videogaming require targeted behavioral interventions to manage aggression, while adolescents with non-problematic videogaming benefit from preventive emotional regulation and media literacy programs.",10.1016/j.pedn.2026.04.029,42102624,Adolescents; Aggression; Emotional depression; Psychologic desensitization; Video game addiction,exclude,,exclude,"P1: Correlational study on violent gaming in adolescents, not nursing education or a game-based teaching intervention.","AI-R1: Correlational study on violent gaming in adolescents, not nursing education or a game-based teaching intervention."
AlErakyDM202642083010,article,"AlEraky, DM and Kassab, SE and Nandakumar, A and Sadek, SA and Marei, H and Al-Eraky, MM",2026,Bingo Lab: game-based learning in microbiology.,BMC medical education,"BACKGROUND: Assessment in the microbiology laboratories is traditionally structured around spot diagnosis or Objective Structured Practical Examinations (OSPEs) to assess students' ability to identify the causative agents of infectious diseases. Game-based learning has great potential to engage students and indicate their learning gaps in a non-threatening learning environment. PURPOSE: The study introduced 'Bingo Lab' as an innovative gamification intervention in undergraduate microbiology courses. We plan to pilot Bingo Lab in two programs, Dentistry and Nursing. The study tracks students' engagement throughout the activity and examines gender differences and their correlation with microbiology performance. Additionally, it explores how Bingo Lab can create opportunities for meaningful learning and gathers students' feedback on their experience. METHODOLOGY: The intervention was structured in five stages: planning, orientation, Bingo Lab., feedback, and reporting. We shortlisted 25 'unknown' microbiology spots as a mock (revision) exam in a laboratory setup. The spots were randomly mapped on a 5x5 Bingo card. One Bingo is awarded when any student completes five stations, whether horizontally, vertically, or diagonally on the Bingo card. Students' engagement was measured three times: early in the session, in the middle, and towards the end. We also solicited their feedback anonymously using a template of three sections: I like, I wish, and I wonder. RESULTS: Students' engagement scores significantly increased from the early stage to the middle of the activity (p = .005) and from the beginning to the end of the session (p < .001), but there was no significant difference between the beginning and the end of the activity. There were no significant gender differences in engagement at any time point. Bingo Labs were well received by students and helped them address their learning gaps, but they also shared a couple of concerns about having more time for preparation and receiving instructions in advance. DISCUSSION: Bingo in the microbiology lab was well received by students and enabled them to identify their learning gaps and seek feedback and validation from experts. The study supported the effectiveness of the Bingo Lab as a game-based learning approach in improving students' engagement. In a competitive culture, exam-oriented students need to celebrate their excellence, such as through Bingo, a rewarding experience that boosts their self-esteem. CONCLUSIONS: The use of Bingo in microbiology laboratories has been found to be effective in engaging students and guiding them to indicate their learning gaps in a non-threatening environment.",10.1186/s12909-026-09296-3,42083010,Assessment; Bingo; Game-based learning; Laboratory; Microbiology,maybe,,maybe,,AI-R1: Gamification (Bingo Lab) in nursing and dentistry students but appears to be a single-arm engagement pilot without a controlled comparator.
LafontC202642068602,article,"Lafont, C and Broussier, A and Corsin, L and Devillard-Duval, F and Rello, S and Layese, R and Durand, N and Laurent, M and Barau, C",2026,"Effects of a simulation-based learning tool (serious game) on nursing students' knowledge of risk of falls and prevention in older adults: the PREVISS-GAME multicentre, randomized, controlled trial.",Nurse education today,"BACKGROUND: Population ageing and the stagnation of life expectancy without loss of autonomy have prompted the development of preventive actions. Falls are a major public health issue and can result in death or severe complications. Epidemiological studies have found that nearly 50% of patients over the age of 85 fall at least once a year. Our objective was to assess the effect of a simulation-based learning tool (a serious game) on knowledge acquisition by nursing students at a French university. METHODS: We conducted a multicentre, 1:1 randomized, controlled trial (PREVISS-GAME) with two parallel groups. Second-year nursing students attending one of eight nursing institutes associated with the University of Paris-Est Créteil (Créteil, France) were randomized to an intervention group (a serious game plus conventional, knowledge-based teaching) or a control group (conventional, knowledge-based teaching only). In the PREVISS-GAME simulation-based serious game, the player had to care for an older patient who had fallen over. The main outcome was the immediate post-test score (out of 20) in a 12-item knowledge questionnaire. Secondary outcomes included the 4-month post-test score. RESULTS: Of the 517 randomized nursing students (intervention group: n = 261; control group: n = 256), 197 (38%) completed the immediate post-test (99 and 98 in the intervention group and in the control group respectively) and were included in the main analysis. Knowledge acquisition was significantly greater (from 0.8 to nearly 1 point out of 20, representing an increase of approximately 5%) in the intervention group than in the control group among completers, regardless of whether the linear regression model took account of the pre-test score (coefficient [95% confidence interval (CI)] = 0.81 [0.04;1.58], p = 0.039), the nursing institute (coefficient [95%CI] = 0.81 [0.04;1.58], p < 0.041), or demographic and educational characteristics (coefficient [95%CI] = 0.97 [0.17;1.76], p = 0.017). The 4-month outcome could not be analyzed. CONCLUSION: When compared with conventional training, use of a serious game suggested an improvement among completers in nursing students' knowledge of fall prevention. Further research is needed to assess skills transfer in the clinical and to develop strategies for maintaining student commitment to distance learning.",10.1016/j.nedt.2026.107132,42068602,Accidental falls; Aged; Nursing students; Preventive medicine; Serious games,include,,include,,AI-R1: Multicentre RCT of serious game vs conventional teaching in nursing students with knowledge outcome.
MercanAnnak202642054480,article,"Mercan Annak, İ and Bulut, H",2026,The Effect of Virtual Simulation Game on the Development of Nursing Students' Knowledge and Skills: A Randomized Controlled Trial.,Nursing open,"AIM: This study evaluated the effect of a virtual simulation game (VSG) on the development of nursing students' knowledge and skills related to the prevention of Catheter-Associated Urinary Tract Infection (CAUTI). DESIGN: A parallel group randomized controlled trial. The study is registered with ClinicalTrials.gov under the number NCT05309317. METHODS: This study was completed by 75 students (38 simulation and 37 control). Students' knowledge and skill levels were assessed prior to the training. A training on CAUTI prevention was presented to the students. After randomization, the VSG group accessed VSG for 7 days. Following the intervention, students' knowledge and skill levels were measured using post-test assessments. RESULTS: As a result of the study, the post-test mean scores for knowledge and skills in the VSG group were statistically higher than those in the control group (p < 0.05). The results of the study indicate that VSG was an interesting, stimulating, fun, practical and accessible educational approach for university students. CONCLUSIONS: The use of a well-designed VSG application as a teaching and learning strategy contributed to the development of students' knowledge and skills in CAUTI prevention. It is recommended to use VSG as a preliminary or complementary method to traditional face-to-face simulation and clinical applications. PATIENT OR PUBLIC CONTRIBUTION: The game's judgements, having no impact on real life, safeguard patient safety and enhance clinical skills. TRIAL REGISTRATION: ClinicalTrials.gov: NCT05309317.",10.1002/nop2.70566,42054480,catheter associated urınary tract infection; nursing education; nursing students; simulation; virtual simulation game,include,,include,,AI-R1: Parallel-group RCT of virtual simulation game vs control on nursing students' knowledge and skills.
AlMekkawiM202642048998,article,"AlMekkawi, M and Pandarakutty, S and Nalubega, S and ElKhalil, R and Maalouf, I and Aldawsari, A and Bashayreh, I and Al Maqbali, M",2026,Game-based learning in undergraduate nursing education: A systematic review and meta-analysis.,Nurse education today,"BACKGROUND: Game-based learning is increasingly being utilized in nursing education to enhance student engagement, motivation, and overall learning outcomes. This approach encompasses a wide range of pedagogical strategies, including gamification (the integration of game elements into non-game contexts), serious games, and other structured educational games designed to meet specific learning objectives. While there is growing evidence that game-based learning can positively influence cognitive, affective, and psychomotor outcomes, the findings are often inconsistent, influenced by methodological differences and variations in instructional design. This systematic review and meta-analysis aim to evaluate the effectiveness of game-based learning strategies compared with traditional instruction in undergraduate nursing education. DESIGN: A meta-analysis conducted in accordance with PRISMA 2020 guidelines. METHODS: A search of five databases identified randomized trials and quasi-experimental studies on Game-based learning in nursing education from January 2015 to December 2025. The effectiveness relative to traditional methods was analyzed using standardized mean differences and random-effects models, with assessment of heterogeneity and publication bias. Risk of bias was evaluated with the OHAT tool. RESULTS: Thirty-five studies involving undergraduate nursing students met the inclusion criteria, revealing that game-based learning improved various educational outcomes compared to traditional methods. Pooled analyses indicated positive effects across multiple learning domains; however, effect magnitudes varied considerably, and substantial heterogeneity was observed across outcomes. CONCLUSION: Game-based learning appears to improve cognitive, affective, and psychomotor outcomes; however, the size of these effects varies considerably and warrants cautious interpretation. To further reinforce the evidence base, it is advisable to conduct high-quality, multi-site randomized trials with standardized outcomes and extended follow-up periods.",10.1016/j.nedt.2026.107124,42048998,Game-based learning; Gamification; Meta-analysis; Nursing education; Serious games; Systematic review; Undergraduate nursing students,exclude,,exclude,"S1: Systematic review and meta-analysis, not a primary RCT.","AI-R1: Systematic review and meta-analysis, not a primary RCT."
MiesPadillaS202642042631,article,"Mies-Padilla, S and Rodríguez-Suárez, CA and Infante-Guedes, A and González-de la Torre, H",2026,Effectiveness of Gamification with a Narrative Adapted to the Player's Profile in Obstetric Nursing Competencies: A Cluster Randomized Controlled Pilot Trial Protocol.,"Nursing reports (Pavia, Italy)","<b>Background/Objectives</b>: Simulation-based education often lacks personalization, focusing on technical competence rather than individual student profiles. This protocol describes a study designed to evaluate whether adapting gamified narratives to nursing students' personality profiles has the potential to support academic performance in obstetrics. This study aims to validate the integration of psychometric profiling and AI as a sustainable strategy for personalized clinical training. <b>Methods</b>: A cluster-randomized controlled longitudinal pilot trial will be conducted at the University of Atlántico Medio. The protocol has been submitted for registration at ClinicalTrials.gov (Registration Pending). Thirty-eight second-year nursing students meeting inclusion criteria (excluding repeaters or those with prior specialized training) will be assigned by natural practice to either a control group (generic gamification) or an experimental group (gamification adapted according to Player Personality and Dynamics Scale profiles using AI-generated content). The intervention comprises four clinical simulation sessions focusing on pregnancy and childbirth, which are managed via the Wix platform. The primary outcome is academic performance, measured as ""Learning Gain"" (post-test scores minus pre-test scores). Secondary outcomes include student satisfaction measured via the Gameful Experience Scale. Data will be analyzed using Mann-Whitney U tests to compare overall efficacy and intragroup evolution. To minimize observer bias, knowledge assessments will utilize automated, objective scoring, and participants will be blinded to the study hypothesis. <b>Expected Outcomes</b>: The study aims to establish the technical and pedagogical feasibility of integrating AI-adapted narratives into nursing curricula. It is anticipated that the personalized approach will show positive trends in learning gains and engagement patterns, providing a baseline for larger multicenter trials. <b>Conclusions</b>: This protocol presents a framework for ""Precision Education"" in nursing, shifting from ""one-size-fits-all"" simulations to student-centered adaptive training. The use of Generative AI makes such personalization sustainable and cost-effective for health science faculties.",10.3390/nursrep16040104,42042631,artificial intelligence; clinical simulation; gamification; nursing education; obstetrics; personalized learning; player personality,maybe,,maybe,,AI-R1: Cluster-RCT protocol on gamification in nursing students; comparator is generic gamification (both arms gamified) and no results yet.
ZhouH202642018005,article,"Zhou, H and Tang, N and Liu, L and Zhu, Y",2026,Active learning in diabetes education for health professions students: a narrative synthesis of effectiveness and implementation considerations.,Medical education online,"BACKGROUND: Diabetes is a growing global health burden, requiring future health professionals to develop strong knowledge, clinical reasoning, and patient education skills. Active learning approaches, such as simulation, flipped classrooms, and gamification, are increasingly used to strengthen diabetes education, yet evidence remains fragmented. OBJECTIVE: To synthesize recent evidence on the effectiveness and implementation of active learning strategies in diabetes education for pre-licensure health professions students. METHODS: We conducted a structured narrative review of peer-reviewed studies published between 2010 and 2025. Eligible studies included randomized controlled trials, quasi-experimental, and pre-post designs evaluating active learning interventions in pre-licensure medical, nursing, or pharmacy programs. Outcomes included knowledge, skills, confidence, engagement, and satisfaction. Study quality was appraised using MERSQI. RESULTS: Twenty studies met inclusion criteria (10 RCTs, 3 quasi-experimental, 7 pre-post). Simulation and gamification demonstrated the most consistent improvements in knowledge, skills, and learner engagement. Flipped classroom results were mixed, with effectiveness dependent on learner preparation and integration with experiential components. Technology-enhanced experiential approaches showed promise but faced scalability and resource challenges. Implementation factors including faculty time, infrastructure, and equity considerations substantially influenced outcomes. CONCLUSIONS: Active learning strategies enhance diabetes education for health professions students, with simulation and gamification showing the strongest evidence of effectiveness. However, sustainability and scalability remain limited by resource intensity and variable learner preparation. Future research should address long-term knowledge retention, equity across contexts, and cost-effectiveness to guide broader adoption.",10.1080/10872981.2026.2656830,42018005,Diabetes; learning; narrative synthesis; nursing; students,exclude,,exclude,"S1: Narrative review/synthesis of active learning, not a primary RCT.","AI-R1: Narrative review/synthesis of active learning, not a primary RCT."
ChenHW202641966605,article,"Chen, HW and Guo, SL and Chen, CY and Kang, EY and Liu, PC and Huang, CC and Hu, SH and Wu, JC and O'Donnell, JM",2026,Comparing teaching methods on novice nurses' and medical residents' resuscitation teamwork knowledge and team performance: A longitudinal randomized controlled trial.,Nurse education in practice,"AIM: This study examined the short-term and long-term effects of three resuscitation teaching methods on teamwork knowledge and team performance among novice nurses and medical residents. BACKGROUND: Effective resuscitation training is essential for team performance in novice clinical teams. DESIGN: A single-blind, stratified randomized controlled trial with repeated measures. METHODS: A total of 124 nurses and medical residents within their first 2 years of employment in Taiwan between August and December 2022 were randomly assigned to board-game training, high-fidelity simulation, or interactive lectures (control group). Participants received 3-hour TeamSTEPPS teamwork training with four standardized scenarios. Teamwork knowledge and team performance were assessed at pretest, posttest and 3-month follow-up. Data were analyzed using generalized estimating equations (GEE). The study was registered at ClinicalTrials.gov (NCT05302414). RESULTS: Ninety-six participants (24 teams) completed the study. Posttest teamwork knowledge was higher in the control group than in the simulation group (p = 0.04). From pretest to posttest, the control group showed significant knowledge gains (p = 0.003), while the simulation group improved in team performance (p = 0.012). GEE analysis indicated a significantly lower increase in knowledge scores for the simulation group compared with the control group (B = -1.09, p = 0.04). Board-game group feedback emphasized fun, relaxation and communication. CONCLUSIONS: Simulation training was most effective in improving team performance, interactive lectures enhanced teamwork knowledge and board-game training provided a positive learning environment that may increase learner engagement. Educators should select the most effective method based on the specific learning objectives developed.",10.1016/j.nepr.2026.104827,41966605,Board game; Interactive lecture; Interprofessional education; Resuscitatio; Simulation; TeamSTEPPS; Teamwork,include,,include,,AI-R1: RCT comparing board-game training vs lecture (control) in novice nurses with teamwork knowledge/performance outcomes.
