record_id,title,year,journal,doi,final,rct_confirmed,participant_type,game_type,nwkm_levels,specialty,duration,platform,comparator_type,n_intervention,n_control,outcome_primary,meta_usable,exclusion_code,reason
LafontC202642068602,"Effects of a simulation-based learning tool (serious game) on nursing students' knowledge of risk of falls and prevention in older adults: the PREVISS-GAME multicentre, randomized, controlled trial.",2026,Nurse education today,10.1016/j.nedt.2026.107132,include,True,nursing student,serious game,L2,other basic nursing,single(<=1day),digital(app/web),lecture,261,256,"Immediate post-test knowledge score (out of 20, 12-item questionnaire)",False,NONE,Multicentre 1:1 RCT of a serious game plus conventional teaching versus conventional teaching only in nursing students.
MercanAnnak202642054480,The Effect of Virtual Simulation Game on the Development of Nursing Students' Knowledge and Skills: A Randomized Controlled Trial.,2026,Nursing open,10.1002/nop2.70566,include,True,nursing student,serious game,L2,infection control/wound care,short(1wk-1mo),digital(app/web),ordinary/self-study,38,37,Post-test knowledge and skill scores on CAUTI prevention,False,NONE,Parallel-group RCT of a virtual simulation game versus control for CAUTI prevention in nursing students.
ChenHW202641966605,Comparing teaching methods on novice nurses' and medical residents' resuscitation teamwork knowledge and team performance: A longitudinal randomized controlled trial.,2026,Nurse education in practice,10.1016/j.nepr.2026.104827,include,True,mixed/unclear,GBL,L2; L3,critical care/CPR/medication safety,single(<=1day),board/card/physical,lecture,,,Teamwork knowledge and team performance (TeamSTEPPS),False,NONE,Stratified RCT comparing board-game training and simulation versus interactive lectures in novice nurses and residents.
etkinT202641955870,"The effect of serious games and interactive video-based education on nursing students' psychomotor skills, perceived stress, satisfaction and confidence levels in learning: A randomized controlled trial.",2026,Nurse education in practice,10.1016/j.nepr.2026.104824,include,True,nursing student,serious game,L1; L2,critical care/CPR/medication safety,short(1wk-1mo),digital(app/web),ordinary/self-study,33,33,"Psychomotor skill performance; perceived stress, satisfaction, self-confidence",False,NONE,RCT of serious games versus interactive video versus control for parenteral drug administration in nursing students.
AslanTK202641943125,In the effect of the game taboo<sup>®</sup> on nursing students' motivation and perception levels of nursing diagnoses: a cluster randomized controlled trial.,2026,BMC nursing,10.1186/s12912-026-04619-7,include,True,nursing student,gamification,L1; L2,other basic nursing,unclear,board/card/physical,ordinary/self-study,,,Learning motivation (IMMS) and perception of nursing diagnoses,False,NONE,Cluster-randomized controlled trial of the Taboo game versus control on nursing students' motivation and perception of nursing diagnoses.
YcelBO202641931952,"Surgery completed, care continues: Nursing students' learning outcomes in postoperative patient admission using game-based virtual reality - A randomized controlled trial.",2026,Nurse education in practice,10.1016/j.nepr.2026.104808,include,True,nursing student,serious game,L2,other basic nursing,unclear,digital(app/web),ordinary/self-study,,,Theoretical knowledge and skill assessment scores,False,NONE,Parallel-group RCT of game-based VR versus control for postoperative patient admission in nursing students.
OnerB202641807077,"Impact of Gamified Infection Control Education on Cognitive Achievement, Academic Self-Efficacy and Learning Motivation in Nursing Students: A Randomized Controlled Trial in Turkiye.",2026,International journal of nursing practice,10.1111/ijn.70128,include,True,nursing student,gamification,L1; L2,infection control/wound care,short(1wk-1mo),hybrid,lecture,30,30,"Cognitive achievement, academic self-efficacy, learning motivation",False,NONE,"RCT of a gamified infection control program (physical games, escape room) versus lecture-based instruction in nursing students."
AkbariHajiAbadF202641632769,Effects of digital game-based learning as a tool for laparoscopy training in surgical nursing.,2026,PloS one,10.1371/journal.pone.0336400,include,True,nursing student,GBL,L1; L2,other basic nursing,unclear,digital(app/web),lecture,,,Clinical reasoning and user satisfaction (QUIS),False,NONE,RCT of digital game-based learning versus conventional lecture-based education in surgical nursing students.
DemirelN202641574410,"The Effect of Interactive Digital Game on Nursing Students' Intramuscular Injection Skills, Exam Anxiety, and Satisfaction: A Randomized Controlled Trial.",2026,"Computers, informatics, nursing : CIN",10.1097/CIN.0000000000001482,include,True,nursing student,GBL,L1; L2,critical care/CPR/medication safety,single(<=1day),digital(app/web),ordinary/self-study,,,"Intramuscular injection knowledge and skill scores, exam anxiety, satisfaction",False,NONE,Assessor-blinded RCT of an interactive digital game versus standard practice for intramuscular injection skills in nursing students.
TokHH202641466157,A board game's impact on nursing students' knowledge about elder neglect and abuse: a randomized controlled educational intervention.,2026,Journal of elder abuse & neglect,10.1080/08946566.2025.2611157,include,True,nursing student,GBL,L2,long-term care,single(<=1day),board/card/physical,case discussion,,,Older People Neglect and Abuse Knowledge Test score,True,NONE,Randomized controlled study of a board game versus case study discussions for elder neglect/abuse knowledge in nursing students.
