ID,Title,Authors,Year,Reviewer1_Decision,Reviewer1_Confidence,Reviewer1_Exclusion_Code,Reviewer2_Decision,Reviewer2_Confidence,Reviewer2_Exclusion_Code,Final_Decision,Conflict_Resolution
Crawford1991,"Reduction by granulocyte colony-stimulating factor of fever and neutropenia induced by chemotherapy in patients with small-cell lung cancer",Crawford et al.,1991,include,0.95,,include,0.95,,include,
Trillet-Lenoir1993,"Recombinant granulocyte colony stimulating factor reduces the infectious complications of cytotoxic chemotherapy",Trillet-Lenoir et al.,1993,include,0.95,,include,0.95,,include,
Pettengell1992,"Granulocyte colony-stimulating factor to prevent dose-limiting neutropenia in non-Hodgkin's lymphoma: a randomized controlled trial",Pettengell et al.,1992,include,0.95,,include,0.95,,include,
Holmes2002,"Blinded randomized multicenter study to evaluate single administration pegfilgrastim once per cycle versus daily filgrastim as an adjunct to chemotherapy in patients with high-risk stage II or stage III/IV breast cancer",Holmes et al.,2002,include,0.95,,include,0.95,,include,
Green2003,"A randomized double-blind multicenter phase III study of fixed-dose single-administration pegfilgrastim versus daily filgrastim in patients receiving myelosuppressive chemotherapy",Green et al.,2003,include,0.95,,include,0.95,,include,
Vogel2005,"First and subsequent cycle use of pegfilgrastim prevents febrile neutropenia in patients with breast cancer: a multicenter double-blind placebo-controlled trial",Vogel et al.,2005,include,0.95,,include,0.95,,include,
TimmerBonte2005,"Prevention of chemotherapy-induced febrile neutropenia by prophylactic antibiotics plus or minus granulocyte colony-stimulating factor in small-cell lung cancer: a Dutch randomized phase III study",Timmer-Bonte et al.,2005,include,0.80,,exclude,0.70,C1,include,"Lead resolved: G-CSF+abx vs abx alone is a valid G-CSF vs no-GCSF comparison. Co-intervention (antibiotics) present in both arms. Include but flag for sensitivity analysis."
delGiglio2008,"XM02 is superior to placebo and equivalent to Neupogen in reducing the duration of severe neutropenia and the incidence of febrile neutropenia in cycle 1 in breast cancer patients receiving docetaxel/doxorubicin chemotherapy",del Giglio et al.,2008,include,0.90,,include,0.90,,include,
Doorduijn2003,"CHOP compared with CHOP plus granulocyte colony-stimulating factor in elderly patients with aggressive non-Hodgkin's lymphoma",Doorduijn et al.,2003,include,0.95,,include,0.90,,include,
Balducci2007,"Elderly cancer patients receiving chemotherapy benefit from first-cycle pegfilgrastim",Balducci et al.,2007,include,0.65,,include,0.80,,include,
Hecht2010,"A randomized placebo-controlled phase II study evaluating the reduction of neutropenia and febrile neutropenia in patients with colorectal cancer receiving pegfilgrastim with every-2-week chemotherapy",Hecht et al.,2010,include,0.95,,include,0.90,,include,
Romieu2007,"Pegfilgrastim supports delivery of FEC-100 chemotherapy in elderly patients with high risk breast cancer: a randomized phase 2 trial",Romieu et al.,2007,include,0.85,,include,0.85,,include,
Kosaka2015,"Phase III placebo-controlled double-blind randomized trial of pegfilgrastim to reduce the risk of febrile neutropenia in breast cancer patients receiving docetaxel/cyclophosphamide chemotherapy",Kosaka et al.,2015,include,0.95,,include,0.95,,include,
Grigg2003,"A randomized study of pegfilgrastim versus filgrastim for the management of neutropenia in patients with non-Hodgkin lymphoma receiving CHOP-based chemotherapy",Grigg et al.,2003,include,0.90,,include,0.85,,include,
Bondarenko2013,"Efficacy and safety of lipegfilgrastim versus pegfilgrastim: a randomized multicenter active-controlled phase 3 trial in patients with breast cancer receiving doxorubicin/docetaxel chemotherapy",Bondarenko et al.,2013,include,0.95,,include,0.95,,include,
Buchner2014,"A randomized double-blind active control multicenter dose-finding study of lipegfilgrastim (XM22) in breast cancer patients receiving myelosuppressive therapy",Buchner et al.,2014,include,0.75,,exclude,0.75,S1,include,"Lead resolved: Dose-finding but uses active comparator (pegfilgrastim) and reports FN outcomes. Include for NMA network connectivity (lipeg vs peg node). Flag for sensitivity analysis."
